num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
122,2021,7,20,4,3,1,4,21,2101,99,99,2,32,5,5,7,1,2,27,2,2007,4,1,2,1
123,2021,7,20,4,3,1,4,21,2101,99,99,1,41,7,7,9,1,4,27,5,2005,4,1,2,1
124,2021,7,8,2,1,1,4,20,2001,99,99,1,30,5,5,7,1,3,999,99,9999,99,1,2,1
125,2021,7,8,2,1,1,4,20,2001,99,99,1,35,6,6,8,1,4,76,5,9999,99,1,2,1
126,2021,7,19,4,3,1,4,19,1903,99,99,1,49,8,8,10,1,3,69,10,9999,99,1,2,1
127,2021,7,19,4,3,1,4,19,1903,99,99,1,33,5,5,7,1,2,69,2,2013,5,1,2,1
128,2021,7,19,4,3,1,4,19,1903,99,99,2,51,9,9,11,1,2,69,2,2013,5,1,2,1
129,2021,7,13,3,2,1,4,5,504,99,99,1,37,6,6,8,1,14,6,1,9999,99,1,1,2
130,2021,7,14,3,2,1,4,9,917,99,99,1,27,4,4,6,1,5,30,2,1995,3,1,2,2
131,2021,7,14,3,2,1,4,9,917,99,99,1,999,16,12,18,9,4,27,5,9999,99,1,2,2
132,2021,7,21,4,3,1,4,16,1612,99,99,1,38,6,6,8,1,2,69,6,1995,3,1,2,2
133,2021,7,16,3,2,1,4,15,1507,99,99,2,23,3,3,5,1,4,999,99,9999,99,1,2,2
134,2021,7,16,3,2,1,4,15,1507,99,99,1,54,9,9,11,1,4,999,99,9999,99,1,2,1
135,2021,7,16,3,2,1,4,15,1507,99,99,2,25,4,4,6,1,4,999,99,9999,99,1,2,1
136,2021,7,16,3,2,1,4,15,1507,99,99,2,14,1,1,3,2,4,999,99,9999,99,1,2,1
137,2021,7,20,4,3,1,4,15,1501,99,99,1,70,13,11,15,1,5,50,99,1984,2,2,2,1
138,2021,7,20,4,3,1,4,15,1501,99,99,2,67,12,11,14,1,5,50,99,1984,2,2,2,1
139,2021,7,20,4,3,1,4,15,1501,99,99,2,33,5,5,7,1,5,50,99,1984,2,2,2,2
140,2021,7,20,4,3,1,4,15,1501,99,99,2,78,14,11,16,1,5,50,99,1984,2,2,1,2
