num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
214,2021,16,20,4,3,1,6,1,108,3,99,2,41,4,2010,5,1
215,2021,16,20,4,3,1,6,1,110,99,99,4,67,5,9999,99,1
216,2021,16,22,4,3,1,6,1,108,6,99,1,48,11,1997,3,1
217,2021,16,3,1,1,1,6,5,510,99,99,3,31,6,9999,99,1
218,2021,16,9,2,1,1,6,5,501,99,99,6,999,99,9999,99,1
219,2021,16,11,2,1,1,6,10,1001,1,99,3,999,1,9999,99,1
220,2021,16,16,3,2,1,6,10,1021,99,99,3,69,9,9999,99,1
221,2021,16,20,4,3,1,6,11,1102,99,99,1,999,9,9999,99,1
222,2021,16,7,2,1,1,6,9,920,99,99,4,67,2,9999,99,1
223,2021,16,20,4,3,1,6,13,1301,7,99,2,999,99,9999,99,1
224,2021,16,23,4,3,1,6,8,801,99,99,1,27,99,9999,99,7
225,2021,16,1,1,1,1,6,2,207,99,99,4,6,1,9999,99,2
226,2021,17,7,2,1,1,7,1,101,1,1,1,69,5,1995,3,1
227,2021,17,0,1,1,1,7,1,101,18,18,1,17,6,1995,3,1
228,2021,17,14,3,2,1,7,1,101,17,17,4,25,10,9999,99,1
229,2021,17,1,1,1,1,7,1,101,13,13,5,999,99,9999,99,1
230,2021,17,0,1,1,1,7,1,101,11,11,4,32,5,9999,99,1
231,2021,17,18,4,3,1,7,1,101,7,7,1,48,6,9999,99,1
232,2021,17,23,4,3,1,7,1,117,12,99,1,27,4,9999,99,2
233,2021,17,18,4,3,1,7,1,115,3,99,1,17,2,2001,4,1
234,2021,17,15,3,2,1,7,5,509,99,99,2,41,4,9999,99,1
235,2021,17,16,3,2,1,7,6,613,99,99,14,6,1,9999,99,1
236,2021,17,17,3,2,1,7,6,609,99,99,4,67,1,9999,99,8
237,2021,17,23,4,3,1,7,12,1217,99,99,3,56,5,9999,99,1
238,2021,17,16,3,2,1,7,12,1217,99,99,1,48,4,9999,99,1
239,2021,17,10,2,1,1,7,8,802,99,99,1,69,5,9999,99,2
240,2021,17,19,4,3,1,7,15,1503,1,99,3,69,3,1990,3,2
241,2021,17,19,4,3,1,7,17,1710,99,99,4,999,99,9999,99,6
242,2021,17,23,4,3,1,7,14,1412,99,99,2,999,2,9999,99,1
243,2021,17,21,4,3,1,7,3,304,99,99,99,999,99,9999,99,1
244,2021,18,22,4,3,1,1,1,101,1,1,3,56,2,1988,2,1
245,2021,18,2,1,1,1,1,1,101,18,18,6,999,99,9999,99,1
246,2021,18,14,3,2,1,1,1,101,11,11,4,27,1,2019,5,6
247,2021,18,19,4,3,1,1,1,101,11,11,3,69,2,2006,4,1
248,2021,18,22,4,3,1,1,1,101,7,7,4,76,5,9999,99,2
